Project Name,Description,Technology,Last Updated,Project Link,Other Technologies
graphql-api-graphql-yoga,,,"Mar 4, 2023",https://github.com/ammarisme/graphql-api-graphql-yoga,
choreo-shcedule-trigger,Ballerina,,"Mar 4, 2023",https://github.com/ammarisme/choreo-shcedule-trigger,
choreo-graphql,,,"Mar 3, 2023",https://github.com/ammarisme/choreo-graphql,
web-crawler-ballerina,,,"Feb 28, 2023",https://github.com/ammarisme/web-crawler-ballerina,
samples-apim,Forked from wso2/samples-apim,Shell,"Feb 28, 2023",https://github.com/ammarisme/samples-apim,
choreo-demo-react-app,,JavaScript,"Feb 23, 2023",https://github.com/ammarisme/choreo-demo-react-app,
choreo-hackathon,choreo-hackathon,Ballerina,"Feb 23, 2023",https://github.com/ammarisme/choreo-hackathon,
choreo-samples,Forked from wso2/choreo-samples,Ballerina,"Feb 17, 2023",https://github.com/ammarisme/choreo-samples,
docs-is,Forked from wso2/docs-is,CSS,"Jan 20, 2023",https://github.com/ammarisme/docs-is,"Python, pip, mkdocs, CSS, HTML, JavaScript, Java"
wso2-products,,,"Nov 10, 2022",https://github.com/ammarisme/wso2-products,
patient-pay-frontend,,TypeScript,"Oct 11, 2022",https://github.com/ammarisme/patient-pay-frontend,
patient-pay-backend,,,"Oct 10, 2022",https://github.com/ammarisme/patient-pay-backend,
hacker-rank-python-challenges,Python challenges from hackerrank.com,Jupyter Notebook,"Sep 13, 2022",https://github.com/ammarisme/hacker-rank-python-challenges,
unicorn,,JavaScript,"Jul 15, 2022",https://github.com/ammarisme/unicorn,
cq,project cq,JavaScript,"Jun 10, 2022",https://github.com/ammarisme/cq,
fast-api-authserver,,HTML,"May 28, 2022",https://github.com/ammarisme/fast-api-authserver,
cq-backend,,Python,"May 25, 2022",https://github.com/ammarisme/cq-backend,
cq-backend-flask,,Python,"May 25, 2022",https://github.com/ammarisme/cq-backend-flask,
pin-it-already,A project to encourage organizations to peg companies to peg salaries to non-lkr currencies.,,"Mar 25, 2022",https://github.com/ammarisme/pin-it-already,
etl,,,"Feb 5, 2022",https://github.com/ammarisme/etl,
dynamic-bi,,Python,"Feb 5, 2022",https://github.com/ammarisme/dynamic-bi,
export-forecast-NR,Natural Rubber industry forecasts RNN,Jupyter Notebook,"May 31, 2020",https://github.com/ammarisme/export-forecast-NR,
covid-19,This repository contains codes and datasets relating to my research on data synthesis and machine learning model development to fight covid-19.,Jupyter Notebook,"May 7, 2020",https://github.com/ammarisme/covid-19,
DataService,,Jupyter Notebook,"May 5, 2020",https://github.com/ammarisme/DataService,
graph-transformer-epidemology-model,,Jupyter Notebook,"May 4, 2020",https://github.com/ammarisme/graph-transformer-epidemology-model,
disease-contact-trace,This repository includes codes and data of a concept research on tracking disease clusters using temporal graphs and Graph Neural Networks.,,"May 4, 2020",https://github.com/ammarisme/disease-contact-trace,
rubber-export-prediction,,Jupyter Notebook,"Feb 28, 2020",https://github.com/ammarisme/rubber-export-prediction,
custom-feed,,Jupyter Notebook,"Jan 9, 2020",https://github.com/ammarisme/custom-feed,
node-sample,,JavaScript,"Oct 31, 2019",https://github.com/ammarisme/node-sample,
Suicides-and-Unemployment-in-Sri-Lanka,Suicides and Unemployment in Sri Lanka,Python,"Oct 11, 2019",https://github.com/ammarisme/Suicides-and-Unemployment-in-Sri-Lanka,
survey-on-data-science-skills,A small survey on data science skills using datasets,Python,"Oct 10, 2019",https://github.com/ammarisme/survey-on-data-science-skills,
TouristArrivalPredictor,Tourist arrival prediction using RNN and Genetic Algorithm,Python,"Oct 7, 2019",https://github.com/ammarisme/TouristArrivalPredictor,
HateSpeechDetector,An experiment on alternative algorithms for offensive language detection.,HTML,"Oct 7, 2019",https://github.com/ammarisme/HateSpeechDetector,
imammar,,HTML,"Jan 8, 2019",https://github.com/ammarisme/imammar,
